Year,State,Constituency,Name,Party,Votes,State-code,Constituency-code
1999,MAHARASHTRA,AHMEDNAGAR,DILIPKUMAR MANSUKHLAL GANDHI,BJP,278508,,
1999,MAHARASHTRA,AHMEDNAGAR,MARUTI DEORAM ALIAS DADA PATIL SHELKE,NCP,250051,,
1999,MAHARASHTRA,AHMEDNAGAR,BHOS BABASAHEB SAHADU,INC,189589,,
1999,MAHARASHTRA,AHMEDNAGAR,DR SHAIKH UMAR ABDUL LATIF,IND,10131,,
1999,MAHARASHTRA,AHMEDNAGAR,VITHODA HIRAJI JADHAV,MRC,3579,,
1999,MAHARASHTRA,AKOLA,AMBEDKAR PRAKASH YASHWANT,BBM,272243,S13,6
1999,MAHARASHTRA,AKOLA,FUNDKAR PANDURANG PUNDLIK,BJP,263527,S13,6
1999,MAHARASHTRA,AKOLA,KORPE DR SANTOSHKUMAR WAMANRAO,NCP,123640,S13,6
1999,MAHARASHTRA,AKOLA,MAULANA WARISUALLAKHAN,IND,9016,S13,6
1999,MAHARASHTRA,AKOLA,RAJNIKANT GITAILAXMAN PATIL,SPSP,2068,S13,6
1999,MAHARASHTRA,AKOLA,JOSHI SHALIGRAM MOHANLAL,IND,1155,S13,6
1999,MAHARASHTRA,AMRAVATI,GUDHE ANANT MAHADEOAPPA,SHS,319916,S13,7
1999,MAHARASHTRA,AMRAVATI,R S GAVAI,RPI,246264,S13,7
1999,MAHARASHTRA,AMRAVATI,DR KALE MOHAN NATTHUJI,NCP,71801,S13,7
1999,MAHARASHTRA,AMRAVATI,DR VASANT GANPATRAO GURJAR,IND,7954,S13,7
1999,MAHARASHTRA,AMRAVATI,JAKIR ALI AHMAD SK AHMAD,IND,6278,S13,7
1999,MAHARASHTRA,AMRAVATI,DESHMUKH ASHOK PUNDLIKRAO,ABHS,5677,S13,7
1999,MAHARASHTRA,AMRAVATI,DR C K MANKIKAR,BSP,4040,S13,7
1999,MAHARASHTRA,AMRAVATI,GHODESWAR PRABHAKAR RAMBHAU,IND,1803,S13,7
1999,MAHARASHTRA,AURANGABAD,CHANDRAKANT KHAIRE,SHS,383144,S13,19
1999,MAHARASHTRA,AURANGABAD,A R ANTULAY,INC,327255,S13,19
1999,MAHARASHTRA,AURANGABAD,BABURAO PAWAR,NCP,134831,S13,19
1999,MAHARASHTRA,AURANGABAD,HIVRALE BHIMRAO TRIMBAK,BSP,4506,S13,19
