Year,State,State-code,Constituency,Constituency-code,Name,Party,Rank
2019,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,KULDEEP RAI SHARMA,INC,1
2019,Andhra Pradesh,S01,Aruku,1,GODDETI MADHAVI,YSRCP,1
2019,Andhra Pradesh,S01,Srikakulam,2,RAMMOHANNAIDU KINJARAPU,TDP,1
2019,Andhra Pradesh,S01,Vizianagaram,3,BELLANA CHANDRA SEKHAR,YSRCP,1
2019,Andhra Pradesh,S01,Visakhapatnam,4,M V V SATYANARAYANA,YSRCP,1
2019,Andhra Pradesh,S01,Anakapalli,5,DR.BEESETTI VENKATA SATYAVATHI,YSRCP,1
2019,Andhra Pradesh,S01,Kakinada,6,VANGA GEETHAVISWANATH,YSRCP,1
2019,Andhra Pradesh,S01,Amalapuram,7,CHINTA ANURADHA,YSRCP,1
2019,Andhra Pradesh,S01,Rajahmundry,8,MARGANI BHARAT,YSRCP,1
2019,Andhra Pradesh,S01,Narsapuram,9,KANUMURU RAGHU RAMA KRISHNA RAJU,YSRCP,1
2019,Andhra Pradesh,S01,Eluru,10,KOTAGIRI SRIDHAR,YSRCP,1
2019,Andhra Pradesh,S01,Machilipatnam,11,BALASHOWRY VALLABHANENI,YSRCP,1
2019,Andhra Pradesh,S01,Vijayawada,12,SRINIVAS KESINENI,TDP,1
2019,Andhra Pradesh,S01,Guntur,13,JAYADEV GALLA,TDP,1
2019,Andhra Pradesh,S01,Narasaraopet,14,LAVU SRI KRISHNA DEVARAYALU,YSRCP,1
2019,Andhra Pradesh,S01,Bapatla,15,NANDIGAM SURESH,YSRCP,1
2019,Andhra Pradesh,S01,Ongole,16,MAGUNTA SREENIVASULU REDDY,YSRCP,1
2019,Andhra Pradesh,S01,Nandyal,17,POCHA . BRAHMANANDA REDDY,YSRCP,1
2019,Andhra Pradesh,S01,Kurnool,18,AYUSHMAN DOCTOR SANJEEV KUMAR,YSRCP,1
2019,Andhra Pradesh,S01,Anantapur,19,TALARI RANGAIAH,YSRCP,1
2019,Andhra Pradesh,S01,Hindupur,20,KURUVA GORANTLA MADHAV,YSRCP,1
2019,Andhra Pradesh,S01,Kadapa,21,YEDUGURI SANDINTI AVINASH REDDY,YSRCP,1
2019,Andhra Pradesh,S01,Nellore,22,ADALA PRABHAKARA REDDY,YSRCP,1
2019,Andhra Pradesh,S01,Tirupati,23,BALLI DURGA PRASAD RAO,YSRCP,1
2019,Andhra Pradesh,S01,Rajampet,24,P.V.MIDHUN REDDY,YSRCP,1
2019,Andhra Pradesh,S01,Chittoor,25,N. REDDEPPA,YSRCP,1
2019,Arunachal Pradesh,S02,Arunachal West,1,KIREN RIJIJU,BJP,1
2019,Arunachal Pradesh,S02,Arunachal East,2,TAPIR GAO,BJP,1
2019,Assam,S03,Karimganj,1,KRIPANATH MALLAH,BJP,1
2019,Assam,S03,Silchar,2,RAJDEEP ROY,BJP,1
2019,Assam,S03,Autonomous District,3,HOREN SING BEY,BJP,1
2019,Assam,S03,Dhubri,4,BADRUDDIN AJMAL,AIUDF,1
2019,Assam,S03,Kokrajhar,5,NABA KUMAR SARANIA,IND,1
2019,Assam,S03,Barpeta,6,ABDUL KHALEQUE,INC,1
2019,Assam,S03,Gauhati,7,QUEEN OJA,BJP,1
2019,Assam,S03,Mangaldoi,8,DILIP SAIKIA,BJP,1
2019,Assam,S03,Tezpur,9,PALLAB LOCHAN DAS,BJP,1
2019,Assam,S03,Nowgong,10,PRADYUT BORDOLOI,INC,1
2019,Assam,S03,Kaliabor,11,GAURAV GOGOI,INC,1
2019,Assam,S03,Jorhat,12,TOPON KUMAR GOGOI,BJP,1
2019,Assam,S03,Dibrugarh,13,RAMESWAR TELI,BJP,1
2019,Assam,S03,Lakhimpur,14,PRADAN BARUAH,BJP,1
2019,Bihar,S04,Valmiki Nagar,1,BAIDYANATH PRASAD MAHTO,JD(U),1
2019,Bihar,S04,Paschim Champaran,2,DR. SANJAY JAISWAL,BJP,1
2019,Bihar,S04,Purvi Champaran,3,RADHA MOHAN SINGH,BJP,1
2019,Bihar,S04,Sheohar,4,RAMA DEVI,BJP,1
2019,Bihar,S04,Sitamarhi,5,SUNIL KUMAR PINTU,JD(U),1
2019,Bihar,S04,Madhubani,6,ASHOK KUMAR YADAV,BJP,1
2019,Bihar,S04,Jhanjharpur,7,RAMPRIT MANDAL,JD(U),1
2019,Bihar,S04,Supaul,8,DILESHWAR KAMAIT,JD(U),1
2019,Bihar,S04,Araria,9,PRADEEP KUMAR SINGH,BJP,1
2019,Bihar,S04,Kishanganj,10,DR. MOHAMMAD JAWED,INC,1
2019,Bihar,S04,Katihar,11,DULAL CHANDRA GOSWAMI,JD(U),1
2019,Bihar,S04,Purnia,12,SANTOSH KUMAR,JD(U),1
2019,Bihar,S04,Madhepura,13,DINESH CHANDRA YADAV,JD(U),1
2019,Bihar,S04,Darbhanga,14,GOPAL JEE THAKUR,BJP,1
2019,Bihar,S04,Muzaffarpur,15,AJAY NISHAD,BJP,1
2019,Bihar,S04,Vaishali,16,VEENA DEVI (W/O DINESH PRASAD SINGH),LJP,1
2019,Bihar,S04,Gopalganj (Sc),17,DR. ALOK KUMAR SUMAN,JD(U),1
2019,Bihar,S04,Siwan,18,KAVITA SINGH,JD(U),1
2019,Bihar,S04,Maharajganj,19,"JANARDAN SINGH 'SIGRIWAL""",BJP,1
2019,Bihar,S04,Saran,20,RAJIV PRATAP RUDY,BJP,1
2019,Bihar,S04,Hajipur (Sc),21,PASHU PATI KUMAR PARAS,LJP,1
2019,Bihar,S04,Ujiarpur,22,NITYANAND RAI,BJP,1
2019,Bihar,S04,Samastipur (Sc),23,RAMCHANDRA PASWAN,LJP,1
2019,Bihar,S04,Begusarai,24,GIRIRAJ SINGH,BJP,1
2019,Bihar,S04,Khagaria,25,CHOUDHARY MEHBOOB ALI KAISER,LJP,1
2019,Bihar,S04,Bhagalpur,26,AJAY KUMAR MANDAL,JD(U),1
2019,Bihar,S04,Banka,27,GIRIDHARI YADAV,JD(U),1
2019,Bihar,S04,Munger,28,RAJIV RANJAN SINGH,JD(U),1
2019,Bihar,S04,Nalanda,29,KAUSHLENDRA KUMAR,JD(U),1
2019,Bihar,S04,Patna Sahib,30,RAVI SHANKAR PRASAD,BJP,1
2019,Bihar,S04,Pataliputra,31,RAM KRIPAL YADAV,BJP,1
2019,Bihar,S04,Arrah,32,R. K. SINGH,BJP,1
2019,Bihar,S04,Buxar,33,ASHWINI KUMAR CHOUBEY,BJP,1
2019,Bihar,S04,Sasaram (Sc),34,CHHEDI PASWAN,BJP,1
2019,Bihar,S04,Karakat,35,MAHABALI SINGH,JD(U),1
2019,Bihar,S04,Jahanabad,36,CHANDESHWAR PRASAD,JD(U),1
