State,Constituency,State-code,Constituency-code
Andhra Pradesh,Adilabad,S01,1
Andaman & Nicobar Islands,Andaman & Nicobar Islands,U01,1
Andhra Pradesh,Aruku,S01,1
Andhra Pradesh,Srikakulam,S01,2
Andhra Pradesh,Vizianagaram,S01,3
Andhra Pradesh,Visakhapatnam,S01,4
Andhra Pradesh,Anakapalli,S01,5
Andhra Pradesh,Kakinada,S01,6
Andhra Pradesh,Amalapuram,S01,7
Andhra Pradesh,Rajahmundry,S01,8
Andhra Pradesh,Narsapuram,S01,9
Andhra Pradesh,Eluru,S01,10
Andhra Pradesh,Machilipatnam,S01,11
Andhra Pradesh,Vijayawada,S01,12
Andhra Pradesh,Guntur,S01,13
Andhra Pradesh,Narasaraopet,S01,14
Andhra Pradesh,Bapatla,S01,15
Andhra Pradesh,Ongole,S01,16
Andhra Pradesh,Nandyal,S01,17
Andhra Pradesh,Kurnool,S01,18
Andhra Pradesh,Anantapur,S01,19
Andhra Pradesh,Hindupur,S01,20
Andhra Pradesh,Kadapa,S01,21
Andhra Pradesh,Nellore,S01,22
Andhra Pradesh,Tirupati,S01,23
Andhra Pradesh,Rajampet,S01,24
Andhra Pradesh,Chittoor,S01,25
Arunachal Pradesh,Arunachal West,S02,1
Arunachal Pradesh,Arunachal East,S02,2
Assam,Karimganj,S03,1
Assam,Silchar,S03,2
Assam,Autonomous District,S03,3
Assam,Dhubri,S03,4
Assam,Kokrajhar,S03,5
Assam,Barpeta,S03,6
Assam,Gauhati,S03,7
Assam,Mangaldoi,S03,8
Assam,Tezpur,S03,9
Assam,Nowgong,S03,10
Assam,Kaliabor,S03,11
Assam,Jorhat,S03,12
Assam,Dibrugarh,S03,13
Assam,Lakhimpur,S03,14
Bihar,Valmiki Nagar,S04,1
Bihar,Paschim Champaran,S04,2
Bihar,Purvi Champaran,S04,3
Bihar,Sheohar,S04,4
Bihar,Sitamarhi,S04,5
Bihar,Madhubani,S04,6
Bihar,Jhanjharpur,S04,7
Bihar,Supaul,S04,8
Bihar,Araria,S04,9
Bihar,Kishanganj,S04,10
Bihar,Katihar,S04,11
Bihar,Purnia,S04,12
Bihar,Madhepura,S04,13
Bihar,Darbhanga,S04,14
Bihar,Muzaffarpur,S04,15
Bihar,Vaishali,S04,16
Bihar,Gopalganj (Sc),S04,17
Bihar,Siwan,S04,18
Bihar,Maharajganj,S04,19
Bihar,Saran,S04,20
Bihar,Hajipur (Sc),S04,21
Bihar,Ujiarpur,S04,22
Bihar,Samastipur (Sc),S04,23
Bihar,Begusarai,S04,24
Bihar,Khagaria,S04,25
Bihar,Bhagalpur,S04,26
Bihar,Banka,S04,27
Bihar,Munger,S04,28
Bihar,Nalanda,S04,29
Bihar,Patna Sahib,S04,30
Bihar,Pataliputra,S04,31
Bihar,Arrah,S04,32
Bihar,Buxar,S04,33
Bihar,Sasaram (Sc),S04,34
Bihar,Karakat,S04,35
Bihar,Jahanabad,S04,36
Bihar,Aurangabad,S04,37
Bihar,Gaya (Sc),S04,38
Bihar,Nawada,S04,39
Bihar,Jamui (Sc),S04,40
Chandigarh,Chandigarh,U02,1
Chhattisgarh,Sarguja,S26,1
Chhattisgarh,Raigarh,S26,2
Chhattisgarh,Janjgir-Champa,S26,3
Chhattisgarh,Korba,S26,4
Chhattisgarh,Bilaspur,S26,5
Chhattisgarh,Rajnandgaon,S26,6
Chhattisgarh,Durg,S26,7
Chhattisgarh,Raipur,S26,8
Chhattisgarh,Mahasamund,S26,9
Chhattisgarh,Bastar,S26,10
Chhattisgarh,Kanker,S26,11
Dadra & Nagar Haveli,Dadar & Nagar Haveli,U03,1
Daman & Diu,Daman & Diu,U04,1
NCT OF DELHI,Chandni Chowk,U05,1
NCT OF DELHI,North East Delhi,U05,2
NCT OF DELHI,East Delhi,U05,3
NCT OF DELHI,New Delhi,U05,4
NCT OF DELHI,North West Delhi,U05,5
NCT OF DELHI,West Delhi,U05,6
NCT OF DELHI,South Delhi,U05,7
Goa,North Goa,S05,1
Goa,South Goa,S05,2
Gujarat,Kachchh,S06,1
Gujarat,Banaskantha,S06,2
Gujarat,Patan,S06,3
Gujarat,Mahesana,S06,4
Gujarat,Sabarkantha,S06,5
Gujarat,Gandhinagar,S06,6
Gujarat,Ahmedabad East,S06,7
Gujarat,Ahmedabad West,S06,8
Gujarat,Surendranagar,S06,9
Gujarat,Rajkot,S06,10
Gujarat,Porbandar,S06,11
Gujarat,Jamnagar,S06,12
Gujarat,Junagadh,S06,13
Gujarat,Amreli,S06,14
Gujarat,Bhavnagar,S06,15
Gujarat,Anand,S06,16
Gujarat,Kheda,S06,17
Gujarat,Panchmahal,S06,18
Gujarat,Dahod,S06,19
Gujarat,Vadodara,S06,20
Gujarat,Chhota Udaipur,S06,21
Gujarat,Bharuch,S06,22
Gujarat,Bardoli,S06,23
Gujarat,Surat,S06,24
Gujarat,Navsari,S06,25
Gujarat,Valsad,S06,26
Haryana,Ambala,S07,1
Haryana,Kurukshetra,S07,2
Haryana,Sirsa,S07,3
Haryana,Hisar,S07,4
Haryana,Karnal,S07,5
Haryana,Sonipat,S07,6
Haryana,Rohtak,S07,7
Haryana,Bhiwani-Mahendragarh,S07,8
Haryana,Gurgaon,S07,9
Haryana,Faridabad,S07,10
Himachal Pradesh,Kangra,S08,1
Himachal Pradesh,Mandi,S08,2
Himachal Pradesh,Hamirpur,S08,3
Himachal Pradesh,Shimla,S08,4
Jammu & Kashmir,Baramulla,S09,1
Jammu & Kashmir,Srinagar,S09,2
Jammu & Kashmir,Anantnag,S09,3
Jammu & Kashmir,Ladakh,S09,4
Jammu & Kashmir,Udhampur,S09,5
Jammu & Kashmir,Jammu,S09,6
Jharkhand,Rajmahal,S27,1
Jharkhand,Dumka,S27,2
Jharkhand,Godda,S27,3
Jharkhand,Chatra,S27,4
Jharkhand,Kodarma,S27,5
Jharkhand,Giridih,S27,6
Jharkhand,Dhanbad,S27,7
Jharkhand,Ranchi,S27,8
Jharkhand,Jamshedpur,S27,9
Jharkhand,Singhbhum,S27,10
Jharkhand,Khunti,S27,11
Jharkhand,Lohardaga,S27,12
Jharkhand,Palamau,S27,13
Jharkhand,Hazaribagh,S27,14
Karnataka,Chikkodi,S10,1
Karnataka,Belgaum,S10,2
Karnataka,Bagalkot,S10,3
Karnataka,Bijapur,S10,4
Karnataka,Gulbarga,S10,5
Karnataka,Raichur,S10,6
Karnataka,Bidar,S10,7
Karnataka,Koppal,S10,8
Karnataka,Bellary,S10,9
Karnataka,Haveri,S10,10
Karnataka,Dharwad,S10,11
Karnataka,Uttara Kannada,S10,12
Karnataka,Davanagere,S10,13
Karnataka,Shimoga,S10,14
Karnataka,Udupi Chikmagalur,S10,15
Karnataka,Hassan,S10,16
Karnataka,Dakshina Kannada,S10,17
Karnataka,Chitradurga,S10,18
Karnataka,Tumkur,S10,19
Karnataka,Mandya,S10,20
Karnataka,Mysore,S10,21
Karnataka,Chamarajanagar,S10,22
Karnataka,Bangalore Rural,S10,23
Karnataka,Bangalore North,S10,24
Karnataka,Bangalore Central,S10,25
Karnataka,Bangalore South,S10,26
Karnataka,Chikkballapur,S10,27
