Year,State-code,State,Constituency-code,Constituency,Name,Party,Rank
2019,S09,Jammu & Kashmir,3,Anantnag,MEHBOOBA MUFTI,JKPDP,1
2019,S09,Jammu & Kashmir,2,Srinagar,TARIQ HAMEED KARRA,JKPDP,1
2019,S09,Jammu & Kashmir,1,Baramulla,MUZAFFAR HUSSAIN BAIG,JKPDP,1
2019,S29,Telangana,9,Hyderabad,ASADUDDIN OWAISI,AIMIM,1
2019,S13,Maharashtra,24,Kalyan,DR.SHRIKANT EKNATH SHINDE,SHS,1
2019,S29,Telangana,8,Secundrabad,BANDARU DATTATREYA,BJP,1
2019,S13,Maharashtra,25,Thane,VICHARE RAJAN BABURAO,SHS,1
2019,S04,Bihar,39,Nawada,GIRIRAJ SINGH,BJP,1
2019,S29,Telangana,7,Malkajgiri,CH.MALLA REDDY,TDP,1
2019,S13,Maharashtra,34,Pune,ANIL SHIROLE,BJP,1
2019,S24,Uttar Pradesh,43,Kanpur,DR.MURLI MANOHAR JOSHI,BJP,1
2019,S28,Uttarakhand,3,Almora,AJAY TAMTA,BJP,1
2019,S24,Uttar Pradesh,59,Gonda,KIRTI VARDHAN SINGH,BJP,1
2019,S13,Maharashtra,23,Bhiwandi,KAPIL MORESHWAR PATIL,BJP,1
2019,S29,Telangana,10,CHELVELLA,KONDA VISHWESHWAR REDDY,TRS,1
2019,S24,Uttar Pradesh,35,Lucknow,RAJ NATH SINGH,BJP,1
2019,S10,Karnataka,26,Bangalore South,ANANTH KUMAR,BJP,1
2019,S04,Bihar,37,Aurangabad,SUSHIL KUMAR SINGH,BJP,1
2019,S13,Maharashtra,29,Mumbai North central,POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO,BJP,1
2019,S04,Bihar,6,Madhubani,HUKM DEO NARAYAN YADAV,BJP,1
2019,S24,Uttar Pradesh,37,Amethi,RAHUL GANDHI,INC,1
2019,S13,Maharashtra,27,Mumbai North West,GAJANAN CHANDRAKANT KIRTIKAR,SHS,1
2019,S24,Uttar Pradesh,57,Kaiserganj,BRIJ BHUSAN SHARAN SINGH,BJP,1
2019,S10,Karnataka,25,Bangalore central,P.C. MOHAN,BJP,1
2019,S24,Uttar Pradesh,50,Kaushambi,VINOD KUMAR SONKAR,BJP,1
2019,S28,Uttarakhand,2,Garhwal,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),BJP,1
2019,S10,Karnataka,24,Bangalore North,D.V SADANANDA GOWDA,BJP,1
2019,S13,Maharashtra,10,Nagpur,GADKARI NITIN JAIRAM,BJP,1
2019,S04,Bihar,28,Munger,VEENA DEVI,LJP,1
2019,S20,Rajasthan,10,KARAULI-DHOLPUR,MANOJ RAJORIYA,BJP,1
2019,S04,Bihar,21,Hajipur (SC),RAMVILAS PASWAN,LJP,1
2019,S13,Maharashtra,30,Mumbai South central,RAHUL RAMESH SHEWALE,SHS,1
2019,S04,Bihar,40,Jamui (SC),CHIRAG KUMAR PASWAN,LJP,1
2019,S06,Gujarat,14,Amreli,KACHHADIYA NARANBHAI BHIKHABHAI,BJP,1
2019,S24,Uttar Pradesh,12,Ghaziabad,VIJAY KUMAR SINGH,BJP,1
2019,S24,Uttar Pradesh,27,Shahjahanpur,KRISHNA RAJ,BJP,1
2019,S13,Maharashtra,3,Jalgaon,A.T. NANA PATIL,BJP,1
2019,S04,Bihar,38,Gaya (SC),HARI MANJHI,BJP,1
2019,S24,Uttar Pradesh,36,Rae Bareli,SONIA GANDHI,INC,1
2019,S22,Tamil Nadu,3,Chennai South,DR. J. JAYAVARDHAN,ADMK,1
2019,S24,Uttar Pradesh,33,Unnao,SAKSHI MAHARAJ,BJP,1
2019,S04,Bihar,20,Saran,RAJIV PRATAP RUDY,BJP,1
2019,S24,Uttar Pradesh,49,Fatehpur,NIRANJAN JYOTI,BJP,1
2019,S13,Maharashtra,2,Dhule,DR. BHAMRE SUBHASH RAMRAO,BJP,1
2019,S24,Uttar Pradesh,23,Badaun,DHARMENDRA YADAV,SP,1
2019,S06,Gujarat,11,Porbandar,RADADIYA VITHALBHAI  HANSRAJBHAI,BJP,1
2019,S24,Uttar Pradesh,21,Mainpuri,MULAYAM SINGH YADAV,SP,1
