Year,State,Constituency,Name,Party,Votes,State-code,Constituency-code,Rank
2019,ANDHRA PRADESH,ADILABAD,GODDETI. MADHAVI,YSRCP,562190,S01,1,1
2019,ANDHRA PRADESH,ADILABAD,KISHORE CHANDRA DEO,TDP,338101,S01,1,2
2019,ANDHRA PRADESH,ADILABAD,GANGULAIAH VAMPURU.,JANASENA PARTY,42794,S01,1,3
2019,ANDHRA PRADESH,ADILABAD,DR. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,17867,S01,1,4
2019,ANDHRA PRADESH,ADILABAD,SHRUTI DEVI VYRICHERLA,INC,17730,S01,1,5
2019,ANDHRA PRADESH,ADILABAD,KANGALA BALUDORA,IND,13826,S01,1,6
2019,ANDHRA PRADESH,ADILABAD,NARAVA SATYAVATHI,IND,11236,S01,1,7
2019,ANDHRA PRADESH,ADILABAD,ANUMULA VAMSIKRISHNA,IND,10240,S01,1,8
2019,ANDHRA PRADESH,ADILABAD,BIDDIKA RAMAYYA.,IND,7867,S01,1,9
2019,ANDHRA PRADESH,ADILABAD,SWAMULA. SUBRAHMANYAM,JANA JAGRUTI PARTY,4710,S01,1,10
2019,ANDHRA PRADESH,ADILABAD,NOTA,NOTA,47977,S01,1,-1
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,KULDEEP RAI SHARMA,INC,95308,U01,1,1
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,VISHAL JOLLY,BJP,93901,U01,1,2
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,PARITOSH KUMAR HALDAR,IND,5341,U01,1,3
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,SANJAY MESHACK,AAP,2839,U01,1,4
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,PRAKASH MINJ,BSP,2486,U01,1,5
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,AYAN MANDAL,AITMC,1721,U01,1,6
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,HENRY,IND,994,U01,1,7
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,K VENKAT RAM BABU,IND,914,U01,1,8
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,MINATI BISWAS,IND,618,U01,1,9
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,S SUDERSHAN RAO,IND,475,U01,1,10
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,V V KHALID,IND,306,U01,1,11
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,K KALIMUTHU,IND,275,U01,1,12
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,C U RASHEED,IND,273,U01,1,13
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,GOUR CHANDRA MAJUMDER,IND,221,U01,1,14
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,C G SAJI KUMAR,ALL INDIA HINDUSTAN CONGRESS PARTY,212,U01,1,15
2019,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,NOTA,NOTA,1412,U01,1,-1
2019,ANDHRA PRADESH,ARUKU,GODDETI. MADHAVI,YSRCP,562190,S01,1,1
2019,ANDHRA PRADESH,ARUKU,KISHORE CHANDRA DEO,TDP,338101,S01,1,2
2019,ANDHRA PRADESH,ARUKU,GANGULAIAH VAMPURU.,JANASENA PARTY,42794,S01,1,3
2019,ANDHRA PRADESH,ARUKU,DR. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,17867,S01,1,4
