Year,State,Constituency,Name,Party,Votes,State-code,Constituency-code,Rank
2024,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,BISHNU PADA RAY,BJP,102182,U01,1,1
2024,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,KULDEEP RAI SHARMA,INC,77829,U01,1,2
2024,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,MANOJ PAUL,ANTCC,8236,U01,1,3
2024,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,D AYYAPPAN,CPIM,6009,U01,1,4
2024,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,V.K. ABDUL AZIZ,IND,2195,U01,1,5
2024,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,K J B SELVARAJ,AIADMK,911,U01,1,6
2024,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,DR ARUN KUMAR MALLIK,BSP,714,U01,1,7
2024,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,RINKU MALA MONDAL,IND,539,U01,1,8
2024,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,K VENKAT RAM BABU,IND,506,U01,1,9
2024,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,USHA KUMARI,IND,378,U01,1,10
2024,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,SALAMAT MONDAL,SUCI(C),349,U01,1,11
2024,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,ANAND RAMNATH ARLEKAR,IND,342,U01,1,12
2024,ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,NOTA,NOTA,1802,U01,1,-1
2024,ANDHRA PRADESH,ARUKU,GUMMA THANUJA RANI,YSRCP,471470,S01,18,1
2024,ANDHRA PRADESH,ARUKU,KOTHAPALLI GEETHA,BJP,417113,S01,18,2
2024,ANDHRA PRADESH,ARUKU,APPALANARASA PACHIPENTA,CPIM,119016,S01,18,3
2024,ANDHRA PRADESH,ARUKU,AVASHYA LAHARI . VARAM,BSP,24858,S01,18,4
2024,ANDHRA PRADESH,ARUKU,SAMAREDDY BALAKRISHNA,IND,9493,S01,18,5
2024,ANDHRA PRADESH,ARUKU,NIMMAKA JAYARAJU,IND,8798,S01,18,6
2024,ANDHRA PRADESH,ARUKU,ATHIDHI,IND,8121,S01,18,7
2024,ANDHRA PRADESH,ARUKU,CHANTI BADNAINA,JBNP,7205,S01,18,8
2024,ANDHRA PRADESH,ARUKU,MOTTADAM . RAJABABU,BAP,6370,S01,18,9
2024,ANDHRA PRADESH,ARUKU,RANJITH KUMAR PALAKA,IND,6000,S01,18,10
2024,ANDHRA PRADESH,ARUKU,RAMBABU JALLI,TELUGU RAJADHIKARA SAMITI PARTY,4933,S01,18,11
2024,ANDHRA PRADESH,ARUKU,MANDALA GIRIDHARA RAO,IND,4931,S01,18,12
2024,ANDHRA PRADESH,ARUKU,VUYAKA NIREEKSHAN  (V. CHENCHU),IPBP,4500,S01,18,13
2024,ANDHRA PRADESH,ARUKU,NOTA,NOTA,50205,S01,18,-1
2024,ANDHRA PRADESH,SRIKAKULAM,KINJARAPU RAMMOHAN NAIDU,TDP,734501,S01,19,1
2024,ANDHRA PRADESH,SRIKAKULAM,TILAK PERADA,YSRCP,420394,S01,19,2
2024,ANDHRA PRADESH,SRIKAKULAM,PEDADA PARAMESWARA RAO,INC,6724,S01,19,3
2024,ANDHRA PRADESH,SRIKAKULAM,SANAPALA SRAVAN KUMAR,IND,5950,S01,19,4
2024,ANDHRA PRADESH,SRIKAKULAM,NAIDUGARI RAJASEKHAR,BSP,4661,S01,19,5
2024,ANDHRA PRADESH,SRIKAKULAM,VABA YOGESWARA RAO,IND,3472,S01,19,6
2024,ANDHRA PRADESH,SRIKAKULAM,BETHA VIVEKANANDA MAHARAJ,IND,2523,S01,19,7
2024,ANDHRA PRADESH,SRIKAKULAM,YEDDU LAKSHMINARAYANA,IND,1598,S01,19,8
2024,ANDHRA PRADESH,SRIKAKULAM,BORUBADRA CHANDRAKALA,BCYP,1315,S01,19,9
2024,ANDHRA PRADESH,SRIKAKULAM,IPPILI SEETHARAJU,JBNP,1080,S01,19,10
2024,ANDHRA PRADESH,SRIKAKULAM,KAYA DURGARAO,NAVARANG CONGRESS PARTY,811,S01,19,11
2024,ANDHRA PRADESH,SRIKAKULAM,CHELLURI DANIYAL,IND,796,S01,19,12
2024,ANDHRA PRADESH,SRIKAKULAM,BOMMALI TIRUPATI RAO,PPOI,589,S01,19,13
2024,ANDHRA PRADESH,SRIKAKULAM,NOTA,NOTA,24498,S01,19,-1
2024,ANDHRA PRADESH,VIZIANAGARAM,APPALANAIDU KALISETTI,TDP,729284,S01,20,1
2024,ANDHRA PRADESH,VIZIANAGARAM,BELLANA CHANDRASEKHAR,YSRCP,487691,S01,20,2
2024,ANDHRA PRADESH,VIZIANAGARAM,BOBBILI SRINU,INC,10270,S01,20,3
2024,ANDHRA PRADESH,VIZIANAGARAM,PEERUBANDI PRAKASH RAO,BSP,7985,S01,20,4
2024,ANDHRA PRADESH,VIZIANAGARAM,VELURI VENKATA TRINADHARAO,IND,4146,S01,20,5
2024,ANDHRA PRADESH,VIZIANAGARAM,ALLU SRIRAMULU,IND,3396,S01,20,6
2024,ANDHRA PRADESH,VIZIANAGARAM,SIYYADULA YELLA RAO,IND,3105,S01,20,7
2024,ANDHRA PRADESH,VIZIANAGARAM,SRINIVASA RAO SAMBHANA,YUGA THULASI PARTY,1758,S01,20,8
2024,ANDHRA PRADESH,VIZIANAGARAM,MARISERLA KRISHNAMURTHY NAIDU,IND,1617,S01,20,9
2024,ANDHRA PRADESH,VIZIANAGARAM,VANGAPANDU MAHESWARA RAO,NABA BHARATA NIRMANA SEVA PARTY,1544,S01,20,10
2024,ANDHRA PRADESH,VIZIANAGARAM,CHINNAM ARUNA KUMAR,JRB,1401,S01,20,11
2024,ANDHRA PRADESH,VIZIANAGARAM,ATCHIYYA NAIDU SAMIREDDY,SP,1059,S01,20,12
2024,ANDHRA PRADESH,VIZIANAGARAM,ADINARAYANA TADDI,IND,855,S01,20,13
2024,ANDHRA PRADESH,VIZIANAGARAM,P V A ANANDA SAGAR,IND,787,S01,20,14
2024,ANDHRA PRADESH,VIZIANAGARAM,SAKHINETI ANANTHA RAJU,PPOI,715,S01,20,15
2024,ANDHRA PRADESH,VIZIANAGARAM,NOTA,NOTA,23097,S01,20,-1
2024,ANDHRA PRADESH,VISAKHAPATNAM,SRIBHARAT MATHUKUMILI,TDP,893884,S01,21,1
2024,ANDHRA PRADESH,VISAKHAPATNAM,JHANSI LAKSHMI. BOTCHA.,YSRCP,397821,S01,21,2
2024,ANDHRA PRADESH,VISAKHAPATNAM,P. SATYA REDDY,INC,29430,S01,21,3
2024,ANDHRA PRADESH,VISAKHAPATNAM,K.A. PAUL,PRAJA SHANTHI PARTY,7529,S01,21,4
2024,ANDHRA PRADESH,VISAKHAPATNAM,PEDAPENKI SIVA PRASADA RAO,BSP,6006,S01,21,5
