ABBREVIATION,PARTY
ABAS,Akhil Bharatiya Ashok Sena
ABBDP,"Akhil Bhartiya Bharat Desham Party, Delhi"
ABBMPP,Akhil Bharatiya Bharat Mata-Putra Paksha
ABBNS,Akhil Bharatiya Bhrastachar Nirmoolan Sena
ABBP,Akhil Bhartiya Berozgaar Party
ABD,Akhil Bharatiya Dal
ABDBM,Akhil Bharatiya Desh Bhakt Morcha
ABDD,Akhil Bharatiya Dharmnirpeksh Dal
ABDM,Akhil Bharatiya Dastkar Morcha
ABDUP,Akhil Bharatiya Dalit Utthan Party
ABEA,Akhand Bharat Ekta Andolan
ABGBP,Akhil Bharatiya Gareeb Party
ABGL,Akhil Bharatiya Gorkha League
ABGLP,Akhil Bharatiya General Labour Party
ABGMKP,Akhil Bharatiya Garib Mazdoor Kisan Party
ABHKSP,Akhil Bharatiya Hindustani Krantikari Samajwadi Party
ABHM,Akhil Bharat Hindu Mahasabha
ABHS,Akhil Bharatiya Sena
ABJC,Akhil Bharatiya Janata Congress
ABJJP,Akhil Bharatiya Janhit Jagrit Party
ABJND,Akhil Bharatiya Jagrook Nagrik Dal
ABJS,Akhil Bharatiya Jan Sangh
ABJVP,Akhil Bhartiya Janata Vikas Party
ABKMM,Akhil Bharatiya Kissan Mazdoor Morcha
ABLRP,Akhil Bharatiya Lokraj Party
ABLTASJM,Akhil Bharatiya Lok Tantrik Alp-Sankhyak Jan Morcha
ABLTC,Akhil Bhartiya Lok Tantrik Congress
ABLTP,Akhil Bharatiya Loktantra Party
ABMAD,Akhil Bharatiya Manav Adhikar Dal
ABMD,Akhil Bharatiya Mahila Dal
ABMKRRC,Akhil Bharatiya Manav Kalyan Ram Rajya Committee
ABMM,Akhil Bharatiya Maratha Mahasangh
ABMSD,Akhil Bartiya Manav Seva Dal
ABMSKP,Akahand Bharat Mahasangh Sarvahara Krantikari Party
ABP,Ambedkarbadi Party
ABPP,Akhil Bharatiya Pichhadavarg Party
ABRAHP,Akhil Bharatiya Rashtriya Azad Hind Party
ABRC(D),Akhil Bharatiya Rajivwadi Congress (Dubey)
ABRRP(P),Akhil Bharatiya Ram Rajya Parishad (Prem Ballabh Vyas)
ABRRP(V),Akhil Bharatiya Ram Rajya Parishad (V.S.Atul).
ABRS,Akhil Bharatiya Rajarya Sabha
ABRSS,Akhil Bharatiya Rashtriya Sanathan Sabha
ABRSSD,Akhil Bharatiya Revolutionary Shoshit Samaj Dal
ABS,Abhinav Bharat Sangh
ABSR,Akhil Bharatiya Shivsena Rashtrawadi
AD,Apna Dal
ADP,Annadata Party
AGP,Asom Gana Parishad
AGRJP,Agar Jan Party
AHF,Azad Hind Fauz (R)
AHL(AG),All Party Hill Leader's Conference (Armison Marak Group)
AIAHMJKP,All India Azad Hind Mazdur And Jan Kalyan Party
AIADMK,All India Anna Dravida Munnetra Kazhagam
AICDBPP,All India Christian Democratic And Backward People's Party
AIDPF,All India Democratic People Federation
AIFB,All India Forward Bloc
AIFB(S),All India Forward Bloc (Subhasist)
AIGC,All India Gareeb Congress
AIHPC,All India Homeless People Congress
AIIC(S),All India Indira Congress (Secular)
AIJP,All India Justice Party
AIKMS,All India Kisan Mazdoor Sabha
AILRP,All India Lok Raj Party
AILWP,All India Labour Welfare Party
AIMF,All India Minorities Front
AIMIM,All India Majlis-E-Ittehadul Muslimeen
AIMLF,All India Muslim Forum
AIMRP,All India Mahila Raj Party
AINC,All India Nethaji Congress
AINYP,All India National Youth Party
AIP,Anti Injustice Party
AIPD,All India Pravasi Dal
AIPP,All India People's Party
AIRKC,All India Rajiv Krantikari Congress
AISBJSMD,All India Shiromani Baba Jiwan Singh Mazhbi Dal
AITMF,All India Tribes And Minorities Front
AITMC,All India Trinamool Congress
AITUP,All India Tafsili United Party
AIUM,All India Urdu Morcha
AIVMK,All India Vakkalar Munnetra Kalagam
AIYAD,All India Youth Akali Dal
AJBP,Ajeya Bharat Party
AJKPPF,All J & K Peoples Patriotic Front
AJP,Asom Jatiya Parishad
AKD,Ambedkar Kranti Dal
AKMDMP,All Kerala M.G.R. Dravida Munnetra Party
ALD,Adarsh Lok Dal
AMB,Amra Bangalee
ANP,Andhra Nadu Party
ANTCC,Andaman Nicobar Democratic Congress
ANVC,Andaman Nicobar Vikas Congress
AP,Awami Party
APM,Ambedkar Peoples Movement
APMK,Ambedkar Puratchikara Makkal Katchi
APNPP,Andhra Pradesh Navodaya Praja Party
APP,Andaman People's Party
APRD,Ambedkar Pragatisheel Republican Dal
ARD,Arya Dal
ARNP,Aryan Nationalist Party
ARS,Arya Sabha
ASP,Ambedkar Samaj Party
ATDP,Anna Telugu Desam Party
ATMK,Anaithinthiya Thamizhaga Munnetra Kazhagam
AUDF,Assam United Democratic Front
AWD,Adarshwadi Dal
AWNP,Awami National Party
BADP,Bharatiya Adarash Party
BAJP,Bharatiya Asht Jan Party
BAMP,Bharatiya Ambedkar Party
BAZP,Bharatiya Azad Party
BBM,Bharipa Bahujan Mahasangha
BBMKD,Bharatiya Berozgar Mazdoor Kisan Dal
BBP,Bharatiya Backward Party
BBPI,Bharat Bachao Party of India
BCVD,Bhrashtachar Virodhi Dal
BD,Bharat Dal
BDBP,Bhartiya Deshbhakt Party
BDD,Bharatiya Democratic Dal
BDP,Bharatiya Dhuni Party
BEP,Bharatiya Ekta Party
BEP(R),Bahujan Ekta Party (R)
BGJ,Bhartiya Gorkha Janashakti
BGKS,Baghel Khand Samaj
BGP,Bharatiya Gareeb Party
BHJC,Bharatiya Jan Congress
BHJP,Bharat Jan Party
BHJS,Bhomi Jotak Samooh
BHJVP,Bharatiya Jan Vikas Party
BHRP,Bharatiya Rashtriya Parishad
BHS,Bharatiya Hindu Sena
BJC(R),Bhartiya Jana Congress (Rashtriya)
BJD,Biju Janata Dal
BJJJKP,Bharatiya Jai Jawan Jai Kisan Party
BJJP,Bharatiya Jan Jagriti Party
BJKLP,Bhartiya Jan Kalyan Party
BJKP,Bharatiya Jan Kisan Party
BJRP,Bahujan Republican Party
BJP,Bharatiya Janata Party
BJS,Bharatiya Jan Sabha
BJSP,Bharatiya Jan-Shakti Party
BJTP,Bharatiya Jantantrik Parishad
BJVP,Bharatiya Janvadi Party
BKD,Bahujan Kranti Dal
BKD(J),Bahujan Kranti Dal (Jai)
BKKGP,Bharatiya Kisan Kamgar Party
BKKP,Bharatiya Krantikari Kammand Party
BKLJP,Bharat Ki Lok Jimmedar Party
BKMP,Bhartiya Kisan Mazdoor Party
BKP(H),Bharatiya Krantikari Parishad (H)
BKS,Bharatiya Kranti Sena
BKSD(ML),Bharat Ka Samyawadi Dal (Marxist Leninwadi)
BKSJP,Bharatiya Krantikari Swatantra Jan Parishad
BKSS,Bharti Krishak Seva Samaj
BKUS,Bharatiya Krishi Udyog Sangh
BKVD,Bundelkhand Vikas Dal
BLKD,Bharatiya Lok Kalyan Dal
BLLP,Bharti Lok Lehar Party
BLP,Bharatiya Labour Party
BLPP(PBH),Bodoland People's Party (Premsing Brahma Group)
BLPY,Bharatiya Lok Panchayat
BLTMD,Bharatiya Lok Tantrik Mazdoor Dal
BLTP,Bahujan Loktantrik Party
BMC,Bharatha Makkal Congress
BMD,Bharat Mukti Dal
BMF,Bharatiya Momin Front
BMM,Bundelkhand Mukti Morcha
BMP(AI),Bharatiya Muhabbat Party (All India)
BMP(S),Bharatiya Muslim Party (Siddiqui)
BMRD,Bharatiya Manav Raksha Dal
BMSKM,Bhartiya Mahashakti Morcha
BMSM,Bharatiya Minorities Suraksha Mahasangh
BND,Bharatiya Naujawan Dal
BNJP,Bharathiya Nethaji Party
BNJS,Bharat Nav Jyoti Sangh
BNP,Bharat Nirudyog Party
BNRP,Bharatiya Nagrik Party
BOP,Bira Oriya Party
BPF,Bharat Pensioner's Front
BPI,Bolshevik Party of India
BPM,Bharatiya Parivartan Morcha
BPNS,Brij Pradesh Nirman Sangh
BPP,Bhartiya Pragatisheel Party
BPSP,Bihar People's Party
BPTP,Bharatiya Prajatantra Party
BRAP,Bahujan Rashtriya Party
BRC,Bharatiya Rajiv Congress
BRD,Bharatiya Rashtrawadi Dal
BRED,Bharatiya Rashtriya Ekta Dal
BRJJCP,Bharatiya Rashtriya Jan Jagran Congress Party
BRJP,Bharatiya Rashtriya Janhit Party
BRKP,Bhartiya Rakshak Party
BRM,Bharatiya Rashtriya Morcha
BRMD,Bharatiya Rashtriya Mazdoor Dal
