Year,State,Constituency,Name,Party,Votes,State-code,Constituency-code,Rank
2019,ANDHRA PRADESH,ADILABAD,GODAM NAGESH,TRS,430847,S01,1,1
2019,ANDHRA PRADESH,ADILABAD,NARESH,INC,259557,S01,1,2
2019,ANDHRA PRADESH,ADILABAD,RAMESH RATHOD,TDP,184198,S01,1,3
2019,ANDHRA PRADESH,ADILABAD,RATHOD SADASHIV,BSP,94420,S01,1,4
2019,ANDHRA PRADESH,ADILABAD,NETHAWATH RAMDAS,INDEPENDENT,41032,S01,1,5
2019,ANDHRA PRADESH,ADILABAD,MOSALI CHINNAIAH,INDEPENDENT,8859,S01,1,6
2019,ANDHRA PRADESH,ADILABAD,PAWAR KRISHNA,INDEPENDENT,5055,S01,1,7
2019,ANDHRA PRADESH,ADILABAD,BANKA SAHADEV,INDEPENDENT,4787,S01,1,8
2019,ANDHRA PRADESH,ADILABAD,NONE OF THE ABOVE,NOTA,17084,S01,1,-1
2019,ANDHRA PRADESH,PEDDAPALLE,BALKA SUMAN,TRS,565496,S01,2,1
2019,ANDHRA PRADESH,PEDDAPALLE,G. VIVEKANAND,INC,274338,S01,2,2
2019,ANDHRA PRADESH,PEDDAPALLE,DR.JANAPATI SARAT BABU,TDP,63334,S01,2,3
2019,ANDHRA PRADESH,PEDDAPALLE,VELTHURU MALLAIAH,RP(K),45977,S01,2,4
2019,ANDHRA PRADESH,PEDDAPALLE,TAGARAM SHANKAR LAL,BSP,9449,S01,2,5
2019,ANDHRA PRADESH,PEDDAPALLE,KALVALA SHANKAR,PPOI,9290,S01,2,6
2019,ANDHRA PRADESH,PEDDAPALLE,JINNA RAMADEVI,INDEPENDENT,9199,S01,2,7
2019,ANDHRA PRADESH,PEDDAPALLE,KALVALA SANJEEV,RPI,8609,S01,2,8
2019,ANDHRA PRADESH,PEDDAPALLE,BUPELLI NARAYANA,INDEPENDENT,7258,S01,2,9
2019,ANDHRA PRADESH,PEDDAPALLE,VENKATA SWAMY INJAM,MAHAJANA SOCIALIST PARTY,3866,S01,2,10
2019,ANDHRA PRADESH,PEDDAPALLE,THALLAPALLI SRINIVAS,INDEPENDENT,3699,S01,2,11
2019,ANDHRA PRADESH,PEDDAPALLE,GADDALA VINAY KUMAR,INDEPENDENT,3266,S01,2,12
2019,ANDHRA PRADESH,PEDDAPALLE,J.V. RAJU,NIP,3020,S01,2,13
2019,ANDHRA PRADESH,PEDDAPALLE,KAMILLA JAYA RAO,INDEPENDENT,2742,S01,2,14
2019,ANDHRA PRADESH,PEDDAPALLE,MOUTAM RAVINDER,INDEPENDENT,2674,S01,2,15
2019,ANDHRA PRADESH,PEDDAPALLE,GORRE RAMESH,INDEPENDENT,2361,S01,2,16
2019,ANDHRA PRADESH,PEDDAPALLE,BOTHA VENKATA MALLAIAH,B. C. UNITED FRONT,2245,S01,2,17
2019,ANDHRA PRADESH,PEDDAPALLE,NONE OF THE ABOVE,NOTA,5361,S01,2,-1
2019,ANDHRA PRADESH,KARIMNAGAR,VINOD KUMAR BOINAPALLY,TRS,505783,S01,3,1
2019,ANDHRA PRADESH,KARIMNAGAR,PONNAM PRABHAKAR,INC,300706,S01,3,2
2019,ANDHRA PRADESH,KARIMNAGAR,CHENNAMANENI VIDYA SAGAR RAO,BJP,214828,S01,3,3
2019,ANDHRA PRADESH,KARIMNAGAR,SHAIK MAHMOOD,WPOI,39325,S01,3,4
2019,ANDHRA PRADESH,KARIMNAGAR,B. LAXMAN,BSP,11333,S01,3,5
2019,ANDHRA PRADESH,KARIMNAGAR,REDDI MALLA SRINIVAS,RPI(A),8040,S01,3,6
2019,ANDHRA PRADESH,KARIMNAGAR,MOHAMMED AMJAD MOHIUDDIN,INDEPENDENT,6720,S01,3,7
2019,ANDHRA PRADESH,KARIMNAGAR,BURLA. RAVI,NCP,4769,S01,3,8
